jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi
3,DEFENDER,Thomas Vermaelen,1985-11-14,2610816,CENTRE_BACK,71982,https://img.uefa.com/imgml/TP/players/3/2020/324x324/71982.jpg,BEL,Défenseur,183.0,80.0,13,B,36,35.6,23.888440980620498
18,DEFENDER,Jason Denayer,1995-06-28,5312,CENTRE_BACK,250064362,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250064362.jpg,BEL,Défenseur,184.0,70.0,13,B,26,25.975342465753425,20.6758034026465
2,DEFENDER,Toby Alderweireld,1989-03-02,1652,CENTRE_BACK,103333,https://img.uefa.com/imgml/TP/players/3/2020/324x324/103333.jpg,BEL,Défenseur,186.0,81.0,13,B,32,32.3013698630137,23.413111342351716
21,DEFENDER,Timothy Castagne,1995-12-05,53577,FULL_BACK,250058949,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250058949.jpg,BEL,Défenseur,,,13,B,26,25.53698630136986,
15,DEFENDER,Thomas Meunier,1991-09-12,52758,FULL_BACK,250029318,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250029318.jpg,BEL,Défenseur,190.0,78.0,13,B,30,29.76986301369863,21.606648199445985
26,MIDFIELDER,Dennis Praet,1994-05-14,53577,CENTRAL_MIDFIELDER,250023003,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250023003.jpg,BEL,Milieu,177.0,,13,B,27,27.0986301369863,
10,MIDFIELDER,Eden Hazard,1991-01-07,50051,WINGER,1902160,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1902160.jpg,BEL,Milieu,173.0,74.0,13,B,30,30.44931506849315,24.725182932941294
6,MIDFIELDER,Axel Witsel,1989-01-12,52758,DEFENSIVE_MIDFIELDER,103335,https://img.uefa.com/imgml/TP/players/3/2020/324x324/103335.jpg,BEL,Milieu,186.0,73.0,13,B,32,32.43561643835616,21.10070528384784
7,MIDFIELDER,Kevin De Bruyne,1991-06-28,52919,ATTACKING_MIDFIELDER,250008901,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250008901.jpg,BEL,Milieu,181.0,68.0,13,B,30,29.97808219178082,20.756387167668876
11,MIDFIELDER,Yannick Carrasco,1993-09-04,50124,WINGER,250040959,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250040959.jpg,BEL,Milieu,180.0,67.0,13,B,28,27.78904109589041,20.679012345679013
22,MIDFIELDER,Nacer Chadli,1989-08-02,2600288,WINGER,250022315,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250022315.jpg,BEL,Milieu,187.0,80.0,13,B,32,31.882191780821916,22.877405702193368
8,MIDFIELDER,Youri Tielemans,1997-05-07,53577,CENTRAL_MIDFIELDER,250064006,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250064006.jpg,BEL,Milieu,176.0,72.0,13,B,24,24.115068493150684,23.243801652892564
16,MIDFIELDER,Thorgan Hazard,1993-03-29,52758,ATTACKING_MIDFIELDER,250012551,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250012551.jpg,BEL,Milieu,174.0,69.0,13,B,28,28.224657534246575,22.79032897344431
19,MIDFIELDER,Leander Dendoncker,1995-04-15,53357,DEFENSIVE_MIDFIELDER,250042602,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250042602.jpg,BEL,Milieu,188.0,83.0,13,B,26,26.17808219178082,23.48347668628339
17,MIDFIELDER,Hans Vanaken,1992-08-24,50043,ATTACKING_MIDFIELDER,250064188,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250064188.jpg,BEL,Milieu,194.0,77.0,13,B,29,28.81917808219178,20.45913487086832
14,FORWARD,Dries Mertens,1987-05-06,50136,STRIKER,250019924,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250019924.jpg,BEL,Attaquant,169.0,61.0,13,B,34,34.12602739726027,21.35779559539232
