association_logo_url,big_logo_url,country_code,id_provider,international_name,logo_url,medium_logo_url,team_code,team_type_detail,display_official_name,club_id
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53357.png,ENG,FAME,Wolves,https://img.uefa.com/imgml/TP/teams/logos/70x70/53357.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53357.png,WOL,DOMESTIC_MEN_TEAM_A,Wolverhampton Wanderers FC,53357
https://img.uefa.com/imgml/uefacom/elements/logos/ma/FRA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/55031.png,FRA,FAME,Rennes,https://img.uefa.com/imgml/TP/teams/logos/70x70/55031.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/55031.png,REN,DOMESTIC_MEN_TEAM_A,Stade Rennais FC,55031
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/2601105.png,ENG,FAME,Brighton,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601105.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/2601105.png,BRI,DOMESTIC_MEN_TEAM_A,Brighton & Hove Albion FC,2601105
https://img.uefa.com/imgml/uefacom/elements/logos/ma/GER.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/57388.png,GER,FAME,Schalke,https://img.uefa.com/imgml/TP/teams/logos/70x70/57388.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/57388.png,SCH,DOMESTIC_MEN_TEAM_A,FC Schalke 04,57388
https://img.uefa.com/imgml/uefacom/elements/logos/ma/DEN.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,DEN,FAME,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/70x70/75795.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/75795.png,MID,DOMESTIC_MEN_TEAM_A,FC Midtjylland,75795
https://img.uefa.com/imgml/uefacom/elements/logos/ma/DEN.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52709.png,DEN,FAME,Copenhagen,https://img.uefa.com/imgml/TP/teams/logos/70x70/52709.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52709.png,CPH,DOMESTIC_MEN_TEAM_A,F.C. Copenhagen,52709
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/51310.png,ITA,FAME,Udinese,https://img.uefa.com/imgml/TP/teams/logos/70x70/51310.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/51310.png,UDI,DOMESTIC_MEN_TEAM_A,Udinese Calcio,51310
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/75386.png,ENG,FAME,Fulham,https://img.uefa.com/imgml/TP/teams/logos/70x70/75386.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/75386.png,FUL,DOMESTIC_MEN_TEAM_A,Fulham FC,75386
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52923.png,ENG,FAME,Southampton,https://img.uefa.com/imgml/TP/teams/logos/70x70/52923.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52923.png,SOU,DOMESTIC_MEN_TEAM_A,Southampton FC,52923
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ESP.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52268.png,ESP,FAME,Valencia,https://img.uefa.com/imgml/TP/teams/logos/70x70/52268.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52268.png,VAL,DOMESTIC_MEN_TEAM_A,Valencia CF,52268
